,GEOID,households
0,4700190952.0,863
1,4700190952.0,756
2,4700191332.0,1250
3,4700191332.0,499
4,4700191332.0,574
5,4700191332.0,680
6,4700191332.0,674
7,4700191142.0,544
8,4700191142.0,441
9,4700191142.0,644
10,4700191142.0,511
11,4700191142.0,701
12,4700191142.0,794
13,4700190952.0,553
14,4700190952.0,380
15,4700190952.0,590
16,4700190952.0,584
17,4700190952.0,424
18,4700190572.0,380
19,4700190572.0,292
20,4700190572.0,724
21,4700190572.0,482
22,4700190572.0,740
23,4700190382.0,618
24,4700190382.0,867
25,4700190382.0,996
26,4700190382.0,530
27,4700190382.0,996
28,4700190002.0,377
29,4700190002.0,498
30,4700190762.0,637
31,4700190762.0,511
32,4700190762.0,755
33,4700190762.0,543
34,4700190762.0,622
35,4700190762.0,490
36,4700190762.0,612
37,4700190192.0,425
38,4700190762.0,422
39,4700190572.0,635
40,4700190572.0,391
41,4700190192.0,386
42,4700190192.0,691
43,4700190192.0,757
44,4700190192.0,733
45,4700190002.0,399
46,4700190192.0,972
47,4700190002.0,493
48,4700190002.0,683
49,4700190002.0,701
50,4700190002.0,731
51,4700190002.0,296
52,4700190952.0,0
53,4700390004.0,559
54,4700390194.0,860
55,4700390384.0,1142
56,4700390194.0,1032
57,4700390384.0,480
58,4700390574.0,886
59,4700390574.0,547
60,4700390574.0,749
61,4700390954.0,552
62,4700390574.0,768
63,4700390194.0,1012
64,4700391524.0,670
65,4700390194.0,1004
66,4700391144.0,575
67,4700391144.0,802
68,4700390194.0,601
69,4700391144.0,368
70,4700390954.0,558
71,4700390954.0,626
72,4700390954.0,695
73,4700390764.0,964
74,4700390004.0,540
75,4700390004.0,587
76,4700390764.0,644
77,4700390764.0,545
78,4700590956.0,749
79,4700590956.0,763
80,4700590576.0,476
81,4700590196.0,451
82,4700590576.0,344
83,4700590006.0,398
84,4700590006.0,444
85,4700590766.0,332
86,4700590766.0,590
87,4700590576.0,680
88,4700590196.0,525
89,4700590386.0,516
90,4700590386.0,643
91,4700790198.0,881
92,4700790388.0,710
93,4700790198.0,571
94,4700790198.0,415
95,4700790958.0,489
96,4700790958.0,668
97,4700790768.0,628
98,4700790008.0,677
99,4700990010.0,551
100,4700990010.0,569
101,4700990200.0,343
102,4700990200.0,848
103,4700990200.0,754
104,4700990200.0,866
105,4700991720.0,923
106,4700991720.0,596
107,4700991720.0,1081
108,4700991720.0,400
109,4700991720.0,499
110,4700990200.0,516
111,4700991530.0,752
112,4700991530.0,587
113,4700990010.0,767
114,4700990010.0,546
115,4700990770.0,485
116,4700990770.0,652
117,4700990770.0,379
118,4700990390.0,532
119,4700990010.0,306
120,4700990580.0,537
121,4700990010.0,600
122,4700990390.0,724
123,4700990010.0,568
124,4700990390.0,485
125,4700990390.0,441
126,4700990390.0,840
127,4700990390.0,747
128,4700990390.0,568
129,4700990390.0,779
130,4700990580.0,724
131,4700990580.0,387
132,4700991340.0,654
133,4700991340.0,539
134,4700990580.0,582
135,4700990770.0,394
136,4700990580.0,1193
137,4700990580.0,535
138,4700990770.0,601
139,4700990770.0,1256
140,4700990770.0,911
141,4700990580.0,644
142,4700990010.0,951
143,4700990010.0,1483
144,4700990770.0,1347
145,4700991530.0,1115
146,4700991530.0,736
147,4700991530.0,400
148,4700991340.0,638
149,4700991530.0,580
150,4700991340.0,925
151,4700991340.0,477
152,4700991340.0,371
153,4700990580.0,543
154,4700990580.0,436
155,4700991340.0,623
156,4700991340.0,431
157,4700991150.0,738
158,4700990960.0,657
159,4700991150.0,1047
160,4700990580.0,766
161,4700990580.0,770
162,4700990580.0,731
163,4700991150.0,562
164,4700990960.0,574
165,4700990960.0,729
166,4700990960.0,666
167,4700990960.0,1654
168,4700991150.0,571
169,4700991150.0,417
170,4700990200.0,911
171,4700991720.0,587
172,4700991720.0,1017
173,4700991150.0,683
174,4700991720.0,795
175,4700990200.0,0
176,4700991340.0,0
177,4701190202.0,435
178,4701191152.0,766
179,4701191152.0,496
180,4701190392.0,504
181,4701191152.0,742
182,4701190392.0,1107
183,4701190392.0,560
184,4701190582.0,572
185,4701190392.0,779
186,4701190392.0,548
187,4701190392.0,522
188,4701190392.0,577
189,4701190392.0,498
190,4701191152.0,742
191,4701191152.0,749
192,4701190772.0,337
193,4701190772.0,460
194,4701190772.0,489
195,4701190772.0,570
196,4701190772.0,543
197,4701190582.0,331
198,4701190772.0,493
199,4701190582.0,537
200,4701190962.0,631
201,4701190772.0,809
202,4701190962.0,945
203,4701190772.0,506
204,4701190202.0,722
205,4701190582.0,585
206,4701190582.0,916
207,4701190392.0,1451
208,4701190202.0,680
209,4701190202.0,810
210,4701190202.0,952
211,4701190202.0,796
212,4701190202.0,784
213,4701190202.0,1094
214,4701190202.0,1281
215,4701190012.0,1133
216,4701190012.0,760
217,4701190012.0,330
218,4701190012.0,689
219,4701190012.0,856
220,4701190012.0,905
221,4701190012.0,1413
222,4701191152.0,771
223,4701191152.0,488
224,4701190962.0,651
225,4701190962.0,683
226,4701190962.0,613
227,4701190962.0,1252
228,4701190582.0,717
229,4701190582.0,1255
230,4701190962.0,682
231,4701190962.0,1278
232,4701390774.0,650
233,4701390774.0,252
234,4701390774.0,379
235,4701390774.0,577
236,4701390774.0,446
237,4701390774.0,337
238,4701390774.0,348
239,4701390584.0,922
240,4701390584.0,354
241,4701390584.0,626
242,4701390584.0,891
243,4701390584.0,314
244,4701390394.0,492
245,4701390584.0,472
246,4701390394.0,444
247,4701390394.0,320
248,4701390394.0,309
249,4701390204.0,387
250,4701390204.0,224
251,4701390204.0,484
252,4701390204.0,327
253,4701390204.0,708
254,4701390204.0,543
255,4701390014.0,532
256,4701390014.0,495
257,4701390014.0,584
258,4701390014.0,629
259,4701390204.0,384
260,4701390014.0,612
261,4701390014.0,373
262,4701390394.0,888
263,4701390014.0,881
264,4701590206.0,425
265,4701590206.0,415
266,4701590206.0,757
267,4701590586.0,639
268,4701590586.0,361
269,4701590586.0,681
270,4701590016.0,497
271,4701590016.0,554
272,4701590586.0,554
273,4701590396.0,764
274,4701790398.0,262
275,4701790588.0,396
276,4701790398.0,658
277,4701790398.0,435
278,4701790588.0,395
279,4701791158.0,391
280,4701790778.0,688
281,4701790778.0,383
282,4701791158.0,856
283,4701791348.0,650
284,4701791348.0,627
285,4701790588.0,584
286,4701791538.0,585
287,4701791538.0,452
288,4701790208.0,393
289,4701790208.0,544
290,4701790018.0,642
291,4701790208.0,373
292,4701790018.0,490
293,4701790018.0,574
294,4701790968.0,543
295,4701790968.0,400
296,4701790018.0,0
297,4701991350.0,643
298,4701991350.0,319
299,4701991160.0,1120
300,4701991160.0,497
301,4701991350.0,682
302,4701991350.0,724
303,4701990970.0,1023
304,4701990590.0,944
305,4701990590.0,579
306,4701990590.0,291
307,4701990590.0,896
308,4701991160.0,552
309,4701990970.0,548
310,4701991160.0,694
311,4701990780.0,738
312,4701990780.0,530
313,4701990780.0,328
314,4701990780.0,519
315,4701990780.0,495
316,4701990780.0,856
317,4701990400.0,621
318,4701990400.0,654
319,4701990400.0,704
320,4701990400.0,830
321,4701990400.0,826
322,4701990020.0,819
323,4701990020.0,600
324,4701990020.0,323
325,4701990020.0,491
326,4701990020.0,853
327,4701990210.0,674
328,4701990970.0,855
329,4701990210.0,523
330,4701990210.0,407
331,4701990970.0,691
332,4701990210.0,300
333,4701990210.0,584
334,4701990210.0,627
335,4702190782.0,586
336,4702190782.0,994
337,4702190212.0,547
338,4702190212.0,846
339,4702190212.0,525
340,4702190022.0,1323
341,4702190212.0,436
342,4702190402.0,1584
343,4702190212.0,296
344,4702190592.0,823
345,4702190592.0,855
346,4702190402.0,634
347,4702190592.0,644
348,4702190022.0,606
349,4702190022.0,869
350,4702190782.0,351
351,4702190972.0,633
352,4702190972.0,412
353,4702190972.0,1270
354,4702190972.0,703
355,4702190782.0,314
356,4702390024.0,421
357,4702390024.0,1008
358,4702390214.0,909
359,4702390784.0,864
360,4702390594.0,430
361,4702390974.0,436
362,4702390594.0,968
363,4702390404.0,596
364,4702390404.0,745
365,4702590976.0,469
366,4702590786.0,603
367,4702590976.0,946
368,4702590976.0,502
369,4702591166.0,476
370,4702591356.0,623
371,4702591166.0,538
372,4702591546.0,391
373,4702591356.0,569
374,4702591356.0,558
375,4702590216.0,481
376,4702590216.0,866
377,4702590216.0,476
378,4702590026.0,361
379,4702590026.0,596
380,4702590216.0,1127
381,4702590216.0,335
382,4702590596.0,825
383,4702590976.0,753
384,4702590406.0,465
385,4702590596.0,631
